ISO3,CCname,CC,Nombre
afg,AS,Asia,Afghanistan
ago,AF,Africa,Angola
alb,EU,Europe,Albania
and,EU,Europe,Andorra
are,AS,Asia,United Arab Emirates
arg,SA,South America,Argentina
arm,EU,Europe,Armenia
atg,NAM,North America,Antigua and Barbuda
aus,OC,Oceania,Australia
aut,EU,Europe,Austria
aze,EU,Europe,Azerbaijan
bdi,AF,Africa,Burundi
bel,EU,Europe,Belgium
ben,AF,Africa,Benin
bfa,AF,Africa,Burkina Faso
bgd,AS,Asia,Bangladesh
bgr,EU,Europe,Bulgaria
bhr,AS,Asia,Bahrain
bhs,NAM,North America,"Bahamas, The"
bih,EU,Europe,Bosnia and Herzegovina
blr,EU,Europe,Belarus
blz,NAM,North America,Belize
bol,SA,South America,Bolivia
bra,SA,South America,Brazil
brb,NAM,North America,Barbados
brn,AS,Asia,Brunei Darussalam
btn,AS,Asia,Bhutan
bwa,AF,Africa,Botswana
caf,AF,Africa,Central African Republic
can,NAM,North America,Canada
che,EU,Europe,Switzerland
chl,SA,South America,Chile
chn,AS,Asia,China
civ,AF,Africa,Cote d'Ivoire
cmr,AF,Africa,Cameroon
cod,AF,Africa,"Congo, Dem. Rep."
cog,AF,Africa,"Congo, Rep."
col,SA,South America,Colombia
com,AF,Africa,Comoros
cpv,AF,Africa,Cabo Verde
cri,NAM,North America,Costa Rica
cub,NAM,North America,Cuba
cyp,EU,Europe,Cyprus
cze,EU,Europe,Czech Republic
dji,AF,Africa,Djibouti
dma,NAM,North America,Dominica
dnk,EU,Europe,Denmark
dom,NAM,North America,Dominican Republic
dza,AF,Africa,Algeria
ecu,SA,South America,Ecuador
egy,AF,Africa,"Egypt, Arab Rep."
eri,AF,Africa,Eritrea
esp,EU,Europe,Spain
est,EU,Europe,Estonia
eth,AF,Africa,Ethiopia
fin,EU,Europe,Finland
fji,OC,Oceania,Fiji
fra,EU,Europe,France
fsm,OC,Oceania,"Micronesia, Fed. Sts."
gab,AF,Africa,Gabon
gbr,EU,Europe,United Kingdom
geo,EU,Europe,Georgia
gha,AF,Africa,Ghana
gin,AF,Africa,Guinea
gmb,AF,Africa,"Gambia, The"
gnb,AF,Africa,Guinea-Bissau
gnq,AF,Africa,Equatorial Guinea
grc,EU,Europe,Greece
grd,NAM,North America,Grenada
gtm,NAM,North America,Guatemala
guy,SA,South America,Guyana
hnd,NAM,North America,Honduras
hrv,EU,Europe,Croatia
hti,NAM,North America,Haiti
hun,EU,Europe,Hungary
idn,AS,Asia,Indonesia
ind,AS,Asia,India
irl,EU,Europe,Ireland
irn,AS,Asia,"Iran, Islamic Rep."
irq,AS,Asia,Iraq
isl,EU,Europe,Iceland
isr,AS,Asia,Israel
ita,EU,Europe,Italy
jam,NAM,North America,Jamaica
jor,AS,Asia,Jordan
jpn,AS,Asia,Japan
kaz,EU,Europe,Kazakhstan
ken,AF,Africa,Kenya
kgz,AS,Asia,Kyrgyz Republic
khm,AS,Asia,Cambodia
kna,NAM,North America,St. Kitts and Nevis
kor,AS,Asia,"Korea, Rep."
kwt,AS,Asia,Kuwait
lao,AS,Asia,Lao PDR
lbn,AS,Asia,Lebanon
lbr,AF,Africa,Liberia
lby,AF,Africa,Libya
lca,NAM,North America,St. Lucia
lka,AS,Asia,Sri Lanka
lso,AF,Africa,Lesotho
ltu,EU,Europe,Lithuania
lux,EU,Europe,Luxembourg
lva,EU,Europe,Latvia
mar,AF,Africa,Morocco
mda,EU,Europe,Moldova
mdg,AF,Africa,Madagascar
mdv,AS,Asia,Maldives
mex,NAM,North America,Mexico
mhl,OC,Oceania,Marshall Islands
mkd,EU,Europe,"Macedonia, FYR"
mli,AF,Africa,Mali
mlt,EU,Europe,Malta
mmr,AS,Asia,Myanmar
mne,EU,Europe,Montenegro
mng,AS,Asia,Mongolia
moz,AF,Africa,Mozambique
mrt,AF,Africa,Mauritania
mus,AF,Africa,Mauritius
mwi,AF,Africa,Malawi
mys,AS,Asia,Malaysia
nam,AF,Africa,Namibia
ner,AF,Africa,Niger
nga,AF,Africa,Nigeria
nic,NAM,North America,Nicaragua
nld,EU,Europe,Netherlands
nor,EU,Europe,Norway
npl,AS,Asia,Nepal
nru,OC,Oceania,Nauru
nzl,OC,Oceania,New Zealand
omn,AS,Asia,Oman
pak,AS,Asia,Pakistan
pan,NAM,North America,Panama
per,SA,South America,Peru
phl,AS,Asia,Philippines
plw,OC,Oceania,Palau
png,OC,Oceania,Papua New Guinea
pol,EU,Europe,Poland
prt,EU,Europe,Portugal
pry,SA,South America,Paraguay
qat,AS,Asia,Qatar
rou,EU,Europe,Romania
rus,EU,Europe,Russian Federation
rwa,AF,Africa,Rwanda
sau,AS,Asia,Saudi Arabia
sdn,AF,Africa,Sudan
sen,AF,Africa,Senegal
sgp,AS,Asia,Singapore
slb,OC,Oceania,Solomon Islands
sle,AF,Africa,Sierra Leone
slv,NAM,North America,El Salvador
smr,EU,Europe,San Marino
som,AF,Africa,Somalia
ssd,AF,Africa,#N/A
stp,AF,Africa,Sao Tome and Principe
sur,SA,South America,Suriname
svk,EU,Europe,Slovak Republic
svn,EU,Europe,Slovenia
swe,EU,Europe,Sweden
swz,AF,Africa,Swaziland
syc,AF,Africa,Seychelles
syr,AS,Asia,Syrian Arab Republic
tcd,AF,Africa,Chad
tgo,AF,Africa,Togo
tha,AS,Asia,Thailand
tjk,AS,Asia,Tajikistan
tkm,AS,Asia,Turkmenistan
tls,AS,Asia,Timor-Leste
tto,NAM,North America,Trinidad and Tobago
tun,AF,Africa,Tunisia
tur,EU,Europe,Turkey
tza,AF,Africa,Tanzania
uga,AF,Africa,Uganda
ukr,EU,Europe,Ukraine
ury,SA,South America,Uruguay
usa,NAM,North America,United States
uzb,AS,Asia,Uzbekistan
vct,NAM,North America,St. Vincent and the Grenadines
ven,SA,South America,"Venezuela, RB"
vnm,AS,Asia,Vietnam
vut,OC,Oceania,Vanuatu
wsm,OC,Oceania,Samoa
zaf,AF,Africa,South Africa
zmb,AF,Africa,Zambia
zwe,AF,Africa,Zimbabwe
yem,,,Yemen
deu,,,Germany
hkg,,,Hong Kong
kir,,,Kiribati
mac,,,Macao
ton,,,Tonga
